tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt12226808,Top Gunner,2020,"['Action', 'War']","['nm0000616', 'nm6276059', 'nm9245117', 'nm4699858', 'nm6209363']",84,2.0,English,New Zealand United States,648,,0.91,Recent graduates of a secluded U.S. Air Force base must protect a gene-editing bio-weapon from the Russian military - who are desperate to seize the deadly viral agent at any cost.
tt3859466,Triumph,2021,['Drama'],"['nm2666409', 'nm0005024', 'nm0000628', 'nm2686262', 'nm9885976']",100,5.9,English,United States,647,,,"A determined high-school senior strives one last time to be a wrestler despite having cerebral palsy, and goes to extreme lengths, crushing obstacles and inspiring others along his journey to prove his abilities. Inspired by real ..."
tt0144646,Toto Who Lived Twice,1998,"['Comedy', 'Drama']","['nm0592149', 'nm0320316', 'nm0033821', 'nm0309846', 'nm0309846']",93,6.9,English,United States,645,2.8,25.6,"Paletta steals from a shrine to pay a prostitute. Fefè, an aging homosexual, attends his lover's wake and steals his ring. Lazzaro is killed by the mafia. Totò, a humble messiah, resurrects the man, who rushes off to take his reve..."
tt4568478,Tombiruo,2017,"['Action', 'Adventure', 'Drama']","['nm5795985', 'nm5795985', 'nm1767178', 'nm0404003', 'nm1106162']",115,5.7,"Malay , Kadazandusun",Malaysia,645,6.0,8.0,"Tombiruo is a troubled young man, deformed, dutiful and burdened with powers that do not bend to his will. The tragic death of his father causes Tombiruo to seek revenge and punish those responsible."
tt14071694,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,2022,['Documentary'],['nm0000160'],112,8.1,English,United States,645,,0.34,"Follows the iconic Pulitzer Prize-winning author Robert Caro and his editor, the literary giant Robert Gottlieb, in this chronicle of a unique 50-year professional relationship."
tt0078356,Tusk,1980,['Drama'],"['nm0226446', 'nm0581014', 'nm0593844', 'nm0678982', 'nm1017532']",119,4.8,French,France,640,,,An English girl and an Indian elephant born on the same day share a common destiny.
tt3843282,Twenty Two,2015,"['Crime', 'Documentary', 'History']",,112,7.4,Malayalam,India,638,10.0,,"An estimated 200,000 Chinese women were forced into prostitution by the Japanese army during WWII. Only 22 of them remain today to speak out publicly. This documentary is not a film for political gains or narrow nationalistic purp..."
tt0111449,Todo es mentira,1994,"['Comedy', 'Drama', 'Romance']","['nm0539846', 'nm0003244', 'nm0758687', 'nm0173101']",99,6.5,Spanish,Spain,638,,,"Pablo hates everything. When Lucia comes into his life, he thinks she's the woman he dreams of, and sees the solution to all his problems. But Lucia, who is rather manipulating, is just what will make Pablo explode. Nobody believe..."
tt3733618,Trace,2015,['Horror'],"['nm1852669', 'nm2336481', 'nm4352745', 'nm0320816', 'nm3748127']",90,3.6,English,United States,637,,9.6,A group of friends experimenting with EVP (Electronic Voice Phenomenon) accidentally open a doorway allowing a powerful demon to enter our world.
tt7033498,Twelve,2019,"['Family', 'Sport']","['nm2089172', 'nm4981530', 'nm3124435', 'nm6818705', 'nm2338177']",92,6.4,English,United States,633,29.0,168.8,"A young boy, with help from his family, lets nothing stand between him and his dream to play in the twelve-year-old world series."
